Oxygonumdelagoense,,
lamprotornisaustralis,AT0119;AT0702;AT0709;AT0717;AT0725;AT0726;AT0902;AT0907;AT0908;AT1309;AT1316,BW;NA;SZ;ZA;ZM;ZW
lamprotorniscaudatus,AT0111;AT0114;AT0705;AT0707;AT0712;AT0713;AT0722;AT0725;AT1010;PA1203,BF;BJ;CM;ES;GH;GM;GN;NE;NG;SN;TD;TG;ZM
lamprotornischalybaeus,AT0108;AT0707;AT0711;AT0715;AT0716;AT0722;AT0725;AT1007,ET;GH;GM;KE;SN;TZ;ZA
lamprotornisnitens,AT0116;AT0119;AT0702;AT0709;AT0717;AT0725;AT0726;AT0907;AT0908;AT1004;AT1009;AT1309;AT1316;AT1405,BW;LS;MZ;NA;SZ;ZA
lamprotornispulcher,AT0111;AT0705;AT0707;AT0713;AT0722;AT1403,BF;BJ;CM;GH;GM;ML;MR;NE;NG;SD;SN;TG
lampyridae,AA0405;IM0149;IM0202;NA0402;NA0403;NA0406;NA0410;NA0411;NA0413;NA0801;NA1202;NA1303;PA0402;PA0405;PA0412;PA0436;PA0445;PA0608;PA1201;PA1215,CA;DE;ES;GR;HK;NZ;SE;TH;US
lanelaternotodonta,,
laniariusatrococcineus,AT0702;AT0705;AT0709;AT0717;AT0725;AT0726;AT0902;AT0907;AT1309;AT1316,BW;NA;TD;ZA
laniuscollaris,AT0108;AT0109;AT0115;AT0116;AT0119;AT0702;AT0704;AT0714;AT0715;AT0716;AT0717;AT0725;AT1003;AT1004;AT1005;AT1007;AT1009;AT1012;AT1203;AT1310;AT1314;AT1316,AO;ET;LS;MZ;NA;TZ;ZA;ZM
laniusmeridionalis,AT1306;AT1318;PA0406;PA1209;PA1212;PA1215;PA1216;PA1221;PA1303;PA1321,AE;ES;FR;KW;MA;PT;QA;YE
laniusminor,PA0422;PA0436;PA0445;PA0608;PA0805;PA1201;PA1220,AM;DE;GE;GR;SE;TR
lanneadiscolor,AT1015,TZ
lanneafruticosa,,
lanneahumilis,,
lanneahumilisolivengl,,
lanneamicrocarpa,AT0722,BF;BJ;ML
lantanaangolensis,AT0907,BW
lantanacamara,AA0402;AT0108;AT0123;AT0707;NA0303;NA0405;NA0411;NA0523;NA0529;NA0701;NA0806;NA1201;NA1202;NA1302;NA1311;NA1312;NT0145;NT0167;NT0176;NT0204;NT0205;NT0217;NT0309;NT0310;OC0106;PA0425;PA1203;PA1208;PA1212;PA1215,AU;CL;CR;DM;EC;ES;FR;HR;MX;NG;NI;PT;TZ;US;VN
lantanarugosa,,
lapeirousiaavasmontana,,
laporteaaestuans,AT0130;AT0722,BF;GN;ML;NG
lasiocampidae,AT0719;IM0131;IM0149;IM0155;NA0402;NA0417;NA0517;NA0523;NA0814;NA1202;NA1308;PA0402;PA0405;PA0436;PA0445;PA0501;PA0608;PA1201,DE;GR;HK;IN;LK;MZ;SE;US
latastialongicaudata,,
latesniloticus,NA0405;NA0701,US
laurusnobilis,AA0405;AA0408;AA0801;PA0402;PA0406;PA0409;PA0445;PA1203;PA1210;PA1211;PA1215;PA1330,ES;FR;GB;IE;IT;NZ
lawsoniainermis,AT0707;AT0903;AT1306,FR;ML;OM
lebeckialinearifolia,,
ledebouria,AT0713;AT0722;AT1015,BF;ES;TZ
ledebouriamarginata,,
ledebouriaundulata,,ES
lemniscomysrosalia,AT0109;AT0706;AT0716,TZ
leonotismicrophylla,,
leonotisnepetifoliaafricana,AT0711;AT0722;AT1015;NA0303;NA0529;NA1201;NA1302;NA1304;NA1307;NT0204;NT0205;NT0230;NT0310;NT0704;PA1203,BF;BR;ES;KE;MX;TZ;US
leonotisschinzii,AT1007;AT1309,ET;NA
lepidagathisanobrya,AT0111;AT0722,BF;BJ
lepidiumenglerianum,,
lepidoptera,AA0405;AA0406;AA0801;AA1003;AT0712;AT0905;NA0403;NA0529;NA0806;NA1202;NT0176;NT0217;NT0310;PA0405;PA0436;PA0608;PA1205,AU;GR;MX;NZ;SE;SS;US
lepisanthessenegalensis,AA0120;AT0111;AT0722,GH;ML;PG
leptadeniahastata,AT0707;AT0713;AT0722;AT1403;PA1329,BF;BJ;FR;GN;ML;NG;SN
leptadeniapyrotechnica,AT0713;AT0722,BF;ML
leptailurusserval,AT0108;AT0709;AT0714;AT0715;AT0716;AT1008,BW;ET;KE;TZ
leptochloafusca,AA0402;AA0409;AA0802;AA1207;NA0414;PA1209,AU;ES;US
leptonychotesweddellii,AN1101;AN1102;AN1103,AQ
leptoptiloscrumeniferus,AT0108;AT0705;AT0711;AT0714;AT0715;AT0716;AT0717;AT0719;AT0722;AT0725;AT0726;AT0902;AT0907;AT1004;AT1007;AT1309,BW;ET;GM;KE;NA;SZ;TZ;UG;ZA;ZM;ZW
leptotyphlops,AT0704;NA0303;NA0405;NA0701;NA0803;NA0804;NA0806;NA0814;NA0815;NA1201;NA1308;NA1312;NT0136,CO;US;ZM
lepuscapensis,AA0402;AA0409;AA1001;AT1316;PA0411;PA0412,AU;CN;DE;NA
lepuseuropaeus,AA0801;PA0402;PA0405;PA0412;PA0436;PA0445,DE;DK;EE;NZ;SE
lepussaxatilis,AT0702;AT0707;AT0709;AT0711;AT0714;AT0717;AT0719;AT0722;AT0725;AT0902;AT0907;AT0908;AT1201;AT1309;AT1314,BW;GH;GN;KE;NA;TZ;ZA;ZM;ZW
lessertiamacrostachya,,
lessertiaphysodes,,
lethocerus,NA0409;NA0513;NA0519;NA0520;NA0523;NA0804;NA0806;NA1201;NA1310;NT0230;NT0310,MX;US;VE
leucasdeflexa,,
leucasmartinicensis,AT0722;AT1015,BF;BJ;ML;NG;SN;TZ
leucaspechuelii,,
leucosphaerabainesii,,
limeumaethiopicum,,
limeumfenestratum,,
limeumpterocarpumvarpterocarpum,AT0713,BF
limeumsulcatum,,
lippiajavanica,,
lippiascaberrima,,
lissodelphisperonii,NT0404,AU;CL
lissotismelanogaster,AT0101;AT0108;AT0705;AT0706;AT0707;AT0709;AT0711;AT0714;AT0716;AT0721;AT0725;AT0907;AT1009,BW;GH;KE;TZ;UG;ZA;ZM
lobodoncarcinophagus,AN1101;AN1103,AQ
locustamigratoriamigratorioides,AA0405;AA0406;PA0402;PA0405;PA0432;PA0436;PA0445;PA0608;PA0814;PA1201;PA1207;PA1209;PA1211;PA1215;PA1221;PA1222,BE;DE;EE;ES;FI;FR;GR;HR;IT;NZ;PT;RO;SE;TR
locustanapardalina,,
loeseneriellaafricana,AT0130;AT0722,BF;CI;ML
lonchocarpuslaxiflorus,AT0722,BF;BJ;ML
lonchocarpusnelsii,AT0907;AT1309,BW;NA
lonchuracantans,AT0903;AT1302;AT1320;NA1201;NA1202,ML;OM;SA;US
lophaetusoccipitalis,AT0101;AT0108;AT0109;AT0111;AT0112;AT0116;AT0119;AT0124;AT0705;AT0707;AT0711;AT0712;AT0714;AT0716;AT0719;AT0721;AT0722;AT0725;AT1004;AT1005;AT1007;AT1008;AT1013;AT1014,CD;ET;GH;GM;KE;MW;MZ;RW;SD;SS;TZ;UG;ZA
lophiocarpusburchelli,,
lophotisruficrista,AT0702;AT0709;AT0711;AT0717;AT0725;AT0726;AT0902;AT0907;AT1004;AT1009;AT1309;AT1316,BW;KE;NA;ZA
lophotissavilei,AT0713;AT0722,BF;CM;GM;SN
lotononisdensa,AT1203,ZA
lotononisplatycarpa,,
loudetiatogoensis,AT0722,BF;BJ
loxodontaafricana,AT0108;AT0702;AT0704;AT0711;AT0714;AT0716;AT0717;AT0721;AT0722;AT0725;AT0726;AT0902;AT0907;AT1004;AT1201;PA0445,CH;GH;KE;NA;NE;TZ;UG;ZA;ZM;ZW
ludwigiaerecta,AT0130;AT0722,BF;BJ;CI
ludwigiahyssopifolia,NT0125,SR;VE
ludwigiapeploidesglabrescens,AA0402;NA0411;NA0804;NA0806;NA0814;NA1202;PA0402;PA1215,AU;FR;NZ;US
luffaaegyptiaca,AT0110;AT0125;AT0722;NT0137,BF;CD;CO;TZ
lybiusdubius,AT0111;AT0114;AT0705;AT0707;AT0712;AT0722;AT1010;AT1403,BF;BJ;CM;GH;GM;GN;GW;NG;SN;TD;TG
lybiusvieilloti,AT0111;AT0707;AT0712;AT0713;AT0722;AT1010,CM;GH;GM;NG;SD;SN;TG
lycaonpictus,AT0709;AT0711;AT0715;AT0719;AT0725;AT0726;AT1309,BW;KE;MZ;ZA;ZW
lycidae,AA0405;AA0406;AA0410;AA0801;AA1003;IM0150;NA0406;NA0410;NA0413;NA0523;NA1303;NA1311;NT0176;PA0402;PA0405;PA0436;PA0445;PA0501;PA0608,DE;IN;MX;NZ;SE;US
lyciumbosciifolium,AT1309,NA
lyciumcinereum,,
lyciumeenii,,
lyciumhirsutum,AT1309,NA
lycosa,NT0205;NT0228;NT0803;NT0805;PA1221,AR;ES;MX
lydomorphusdusaulti,,
mabouyapunctatissima,,
macheiramphusalcinus,AT0101;AT0107;AT0111;AT0704;AT0706;AT0707;AT0716;AT0717;AT0719;AT0721;AT0723;AT0725;AT0726;AT1009;AT1311;AT1402;IM0102;IM0103;IM0119;IM0144;IM0146;IM0163;IM1001;IM1402,BW;CM;GA;GH;KE;MG;MY;MZ;NA;TG;TH;TZ;UG;ZA;ZM;ZW
macrodipteryxlongipennis,AT0114;AT0711;AT0712;AT0722;AT1403,CI;CM;GN;KE
macronectesgiganteus,AA1101;AN1103;NT0402;NT0404;NT0805;NT1201,AQ;AR;AU;CL;FK;GS;NZ
macronecteshalli,AA0407;AN1101;AN1103;AN1104;NT0402;NT0404,AQ;AR;AU;CL;FK;GS;NZ;TF
macronousgularis,IM0105;IM0106;IM0126;IM0146;IM0210,IN;KH;SG;TH
macroscelidesproboscideus,,
macrosphyralongistyla,AT0707;AT0722;AT1403,BF;GM;GN;ML
macrotermes,AT0707;IM0119,GW;TH
macrotermessubhyalinus,AT0707;IM0119,GW;TH
madoquakirkii,AT0108;AT0702;AT0711;AT0714;AT0716;AT0902;AT1309,KE;NA;TZ
maeruaangolensis,AT0722,BF
maeruacrassifolia,AT0713;AT0722;PA1329;PA1332,BF;FR;ML
malacothrixtypica,,
malapteruruselectricus,,
mangiferaindica,AA0402;AT0110;AT0111;AT0130;AT0707;AT0722;AT1403;IM0146;IM0154;NT0109;NT0119;NT0130;NT0137;NT0160;NT0166;NT0179;NT0201;NT0211;NT0218;NT0230;NT1305;OC0106;PA0425;PA0445;PA1203,AU;BF;BJ;BR;CD;CO;CR;ES;FR;GD;GN;GW;JM;LK;MU;MX;NE;PE;PT;SG;US;VC
manihotesculenta,AA0115;AT0110;AT0114;AT0130;AT0722;AT1015;NT0709,BF;CD;EC;GN;PG;TZ;VE
manilkaraobovata,AT0111;AT0130;AT0722,BJ;GH;GN;ML
manistemminckii,,
mantodea,AA0405;AA0406;AA0408;AA0801;AT0725;AT1306;IM0131;IM0149;IM0150;IM0203;NA0402;NA0403;NA0404;NA0411;NA0413;NA0519;NA0523;NA0527;NA0801;NA0804;NA0806;NA0814;NA1201;NA1202;NA1203;NA1303;NA1310;NA1311;NT0205;NT0228;NT0310;OC0702;PA0445;PA1201;PA1211;PA1215;PA1218;PA1220,AE;DE;ES;FR;GR;HK;IN;IT;MX;NZ;PE;TR;US;ZA
marcuseniussenegalensis,,
margaritariadiscoidea,AT0111;AT0114;AT0130;AT0722;AT1403,BJ;CI;GH;GN;ML
mariscuschersinus,,
marsileaminuta,AT0722,BF;ES
mastacembelusnigromarginatus,,
mastomyscoucha,,
mastomyserythroleucus,AT0114;AT0124;AT0130,GN;KE
mastomysnatalensis,AT0109;AT0119;AT0706;AT0907,MZ;TZ
mastomysshortridgei,,
mecistopscataphractus,AT0110;AT0130,CD;CI
megachile,NA0413;NA0814;PA0402;PA0405;PA0436;PA0445;PA0608;PA1201,DE;ES;GR;SE;US
megaloprotachnealbescens,,
megapteranovaeangliae,NA0519;NA0520;NA1202;NT0217;OC0202,AQ;AU;CR;GA;GL;IS;MX;MZ;NO;NU;US;ZA
melhaniaacuminata,,
melieraxcanorus,AT0702;AT0709;AT0717;AT0725;AT0726;AT0902;AT0907;AT1009;AT1201;AT1203;AT1309;AT1314;AT1315;AT1316;AT1322,BW;NA;ZA
melieraxgabar,AT0101;AT0108;AT0125;AT0128;AT0702;AT0704;AT0705;AT0707;AT0709;AT0711;AT0714;AT0715;AT0716;AT0721;AT0722;AT0725;AT0726;AT0902;AT0907;AT0908;AT1007;AT1009;AT1309;AT1315;AT1316;AT1320,BF;BW;ET;GH;KE;MZ;NA;RW;SA;TZ;UG;ZA;ZM
melieraxmetabates,AT0108;AT0111;AT0705;AT0707;AT0711;AT0714;AT0715;AT0716;AT0721;AT0722;AT0725;AT0726;AT0907;AT1007;PA1303,ET;GH;GM;IL;KE;NA;SD;SZ;TZ;UG;ZA
melinisrepens,AA0402;NA0303;NA1201;NA1302;NA1311;NT0176;NT0204;NT0205;NT0303;NT0309;NT0310;NT1316,AU;MX;US
mellivoracapensis,AT0702;AT0725;AT0726;AT0902;AT0907;AT1309,BW;NA;ZA
melochiacorchorifolia,AT0713;AT0722,BF;BJ;ML;NG;SN
meloidae,IM0151;NA1202;NA1203;NA1308;NT0308;PA0402;PA0405;PA0436;PA0445;PA0608;PA1209,DE;IN;MX;PT;SE;US
melolobiummicrophyllum,,
melolonthinae,AA0404;AA0405;AA0406;AA0801;IM0131;NA1201;PA0402;PA0405;PA0431;PA0436;PA0445;PA0608,AT;CH;DE;IN;NZ;SE;US
meropsalbicollis,AT0101;AT0107;AT0111;AT0114;AT0707;AT0711;AT0716;AT0721;AT0901;AT1401;AT1402;AT1403,CM;GH;GW;KE;LR;NG;TZ;UG
meropshirundineus,AT0108;AT0119;AT0125;AT0702;AT0704;AT0705;AT0706;AT0707;AT0709;AT0719;AT0721;AT0722;AT0725;AT0726;AT0902;AT0907;AT1001;AT1309;AT1314;AT1315;AT1316;AT1403,AO;BW;CD;GH;GM;MZ;NA;SN;TZ;UG;ZA;ZM;ZW
meropsorientalis,AT0722;AT1306;AT1320;IM0105;IM0116;IM0119;IM0120;IM0124;IM0126;IM0134;IM0135;IM0142;IM0164;IM0165;IM0202;IM0203;IM0205;IM0206;IM0207;IM0209;IM0210;IM0212;IM1301;IM1402;PA0904;PA1303;PA1327,AE;EG;GM;IL;IN;KH;LA;LK;MM;SA;TH
merremiaaegyptia,AT0713,BF
merremiapinnata,AT0707;AT0713;AT0722,BF;NG;SN
merremiapinnatahochstexchoisyhallierf,AT0707;AT0713;AT0722,BF;NG;SN
merremiaverecunda,,
mesembryanthemumlongipapillosum,,
mesoplodon,AA0202;AA0402;AA0405;AT0713;NA0517;NA0529;NA1102;NT0104;NT0404;NT1406;PA0409;PA0503,AQ;AU;BR;BS;CA;CL;CR;ES;FM;FR;GB;GF;IE;MR;MX;NC;NZ;PF;PT;SH;US;VE;ZA
messor,NA0519;NA0801;NA1202;NA1310;PA0405;PA0432;PA0445;PA1211;PA1215;PA1218;PA1221;PA1222,BE;DE;ES;HR;IT;US
micralesteselongatus,,
microcarboafricanus,AT0107;AT0108;AT0111;AT0115;AT0125;AT0130;AT0704;AT0705;AT0707;AT0711;AT0713;AT0715;AT0716;AT0717;AT0721;AT0722;AT0725;AT1004;AT1005;AT1007;AT1012;AT1403;AT1405,CM;ET;GH;GM;GW;KE;LR;SN;TZ;UG;ZA;ZM;ZW
microcarbocoronatus,AT1004;AT1203;AT1315;AT1322,NA;ZA
micronisusgabar,AT0101;AT0108;AT0125;AT0128;AT0702;AT0704;AT0705;AT0707;AT0709;AT0711;AT0714;AT0715;AT0716;AT0721;AT0722;AT0725;AT0726;AT0902;AT0907;AT0908;AT1007;AT1009;AT1309;AT1315;AT1316;AT1320,BF;BW;ET;GH;KE;MZ;NA;RW;SA;TZ;UG;ZA;ZM
microparracapensis,AT0101;AT0112;AT0119;AT0704;AT0705;AT0711;AT0712;AT0715;AT0716;AT0717;AT0721;AT0722;AT0725;AT0726;AT0902;AT0907;AT1004;AT1010;AT1402,AO;BW;CD;CM;ET;KE;MW;MZ;NA;NG;SD;TZ;UG;ZA;ZM
micropteropuspusillus,AT0114;AT0130;AT0704;AT0712;AT0722,CD;CM;GM;GN;GW;ML
milvusaegyptius,AT0116;AT0709;AT0717;AT0725;AT0907;AT1004;AT1009;AT1012;AT1309;AT1316,BW;NA;ZA;ZW
milvusmigrans,AT0108;AT0712;AT0715;AT0725;AT1007;IM0105;PA0402;PA0404;PA0405;PA0440;PA0445;PA0904;PA1201;PA1221,DE;EG;ES;ET;GR;IN;JP;SS;TZ;ZW
mimusopszeyheri,,
miniopterusfraterculus,AT0117,MG
miniopterusinflatus,AT0130;AT0711,GN;KE
miniopterusschreibersi,PA0402;PA0433;PA0445;PA0501;PA1204;PA1211;PA1215;PA1217;PA1222,FR;MK
mirafra,AA0117;AA0402;AA0409;AA0701;AA0702;AA0707;AA1307;AT0101;AT0108;AT0705;AT0706;AT0711;AT0714;AT0716;AT0721;AT0725;AT1314;IM0120;IM0126;IM0150;IM0164;IM0165;IM0166;IM0202;IM0205;IM0209;IM0212;IM1301;IM1402,AU;IN;KE;KH;LK;MM;TH;TZ;UG;ZA
mirafracantillans,AA1302;AT0108;AT0112;AT0705;AT0711;AT0714;AT0715;AT0716;AT0722;AT1005;AT1007;AT1302;AT1306;AT1320;IM0111;IM0151;IM0166;IM0201;IM0206;IM0207;IM0209;IM1301;IM1401,AU;ET;GH;IN;KE;OM;SA;TZ;UG
mirafrarufocinnamomea,AT0101;AT0108;AT0705;AT0706;AT0707;AT0714;AT0716;AT0721;AT0725;AT1013;AT1401,GH;KE;NG;RW;TZ;UG;ZA
mirafrasabota,AT0702;AT0709;AT0717;AT0725;AT0902;AT1309;AT1316,NA;ZA
miroungaleonina,AA0402;AA0410;AA0801;AA1101;AN1103;NT0160;NT0805,AQ;AR;AU;BR;CL;FK;GS;NZ
mitracarpushirtus,AT0114;AT0130;AT0707;AT0713;AT0722,BF;BJ;GN;ML;NG;SN
mitragynainermis,AT0707;AT0713;AT0722;AT0903,BF;BJ;FR;ML
mollugocerviana,AA0802;AA1308;AA1309;AT0713;PA1208;PA1209;PA1216,AU;BF;ES
mollugonudicaulis,AT0202;AT0713;AT0722,BF;BJ;MG;NG
momordica,AT0110;AT0111;AT0130;AT0704;AT0707;AT0713;AT0722;AT0907;AT1015;IM0154;NT0109;NT0137;NT0215;NT0218;PA0445,BF;CD;CI;CO;DE;DO;ES;FR;GH;GN;IN;JM;LK;LR;MW;SN;TZ;US
momordicabalsamina,AT0707;AT0713;AT0722;NT0218,BF;ES;FR;JM
momordicacharantia,AT0130;AT0707;AT0722;NT0109;NT0137;NT0215;PA0445,BF;CO;DE;DO;ES;FR;IN;LR;SN;US
monechmaciliatum,AT0707;AT0713;AT0722,BF;BJ;ML;NG;SN
monechmadivaricatum,,
monechmafoliosum,,
monechmagenistifolium,,
monechmaincanum,,
monechmandellense,,
monechmandellenselindaujmiegeheine,,
monochoriabrevipetiolata,,
monodoramyristica,AT0111;AT0130,CI;GH;GN;LR
monopeltis,,
monsoniaangustifolia,,
monsoniasenegalensis,,
montagnea,NT1002,AR
monticolarupestris,AT0116;AT0717;AT0725;AT1003;AT1004;AT1009;AT1201;AT1203,BW;LS;SZ;ZA
mopscondylurus,,
mopsmidas,,
moringaoleifera,AT0125;AT0707;AT0715;AT0722,BF;ET;FR;SN;TZ
mormopterusacetabulosus,,
mormopteruspetrophilus,,
mormyropsanguilloides,,
mormyrusrume,,
morphacrisfasciata,,
moruscapensis,AT0115;AT0116;AT0119;AT0128;AT1201;AT1203;AT1310;AT1315;AT1322;AT1405,AO;MZ;NA;ZA
morusserrator,AA0402;AA0404;AA0405;AA0406;AA0408;AA0409;AA0412;AA0413;AA0801;AA1204;AA1206,AU;NZ
motacillacapensis,AT0101;AT0108;AT0115;AT0116;AT0702;AT0717;AT0721;AT0725;AT0907;AT1003;AT1004;AT1009;AT1012;AT1013;AT1203;AT1309;AT1315;AT1316;AT1405,BW;KE;LS;NA;RW;UG;ZA
motacillaflava,AT0108;AT0719;AT0722;AT1007;IM0126;PA0405;PA0436;PA0445;PA0608;PA1209;PA1212;PA1221,DE;ES;ET;IN;MZ;NE;PT;SE;TZ
mukiamaderaspatana,AT0713;AT0722;IM1001,BF;BJ;MY;SN
munduleasericea,AT1309,NA
mungosmungo,AT0101;AT0109;AT0116;AT0702;AT0711;AT0714;AT0715;AT0716;AT0725;AT0726;AT0902;AT0907;AT1004;AT1309;AT1316;PA1207,BW;ET;IL;KE;NA;TZ;UG;ZA
murdanniasimplex,AT0704,TZ
mus,AA0405;AA0406;AA0801;AA1003;AT0707;NT0310;PA0402;PA0405;PA0409;PA0425;PA0429;PA0436;PA0445;PA0608,DE;GM;IE;MX;NZ;PT;SE;US
musca,AA0405;AA0801;IM0209;NA0405;NA0411;NA0413;NA0516;NA0603;NA0801;NA0814;NA1201;NA1202;NA1310;NA1311;NT0310;NT1003;PA0402;PA0405;PA0412;PA0436;PA0445;PA0608,DE;IN;MX;NZ;PE;SE;US
musindutus,,
musminutoides,AT0124;AT0707;AT0718;PA0402,CD;DE;GM;KE
musmusculus,AA0402;AA0405;AA0406;AA0801;AA1003;AA1205;NT0310;OC0106;PA0402;PA0405;PA0409;PA0412;PA0425;PA0429;PA0431;PA0436;PA0445;PA0608,AT;AU;DE;IE;MX;NZ;PT;SE;US
musneavei,,
musorangiae,,
mussetzeri,,
mustriton,AT0718,CD
mycteriaibis,AT0101;AT0108;AT0112;AT0119;AT0125;AT0705;AT0707;AT0709;AT0711;AT0713;AT0714;AT0715;AT0716;AT0717;AT0721;AT0725;AT0905;AT0907;AT0908;AT1007;AT1013;AT1402,BW;ET;GM;KE;MZ;RW;SD;SN;SS;TZ;UG;ZA;ZM
mylabris,AT1012;AT1302;PA0402;PA0405;PA0433;PA0436;PA0445;PA0501;PA0608;PA1211;PA1221;PA1222,DE;ES;IT;OM;PT;SE;ZA
myomysdaltoni,,
myomysverreauxii,,
myosorexcafer,,
myosorexlongicaudatus,,
myosorexsclateri,,
myosorexvarius,,
myotisbocagei,,
myotistricolor,AT0711,KE
myotiswelwitschii,AT0114;AT0721,GN;KE
myrmecocichlaaethiops,AT0108;AT0711;AT0713;AT0714;AT0716;AT0722;AT1010,CM;GM;KE;NG;SN;TZ
myrmecocichlaformicivora,AT0702;AT0709;AT0717;AT0725;AT0902;AT0908;AT1004;AT1009;AT1203;AT1309;AT1314;AT1315;AT1316;AT1322,BW;NA;ZA
myrmeleonquinquemaculatus,,
myrmeleontidae,AA0405;AA1003;AT0108;AT0719;AT0725;NA0405;NA0413;NA0415;NA0511;NA0519;NA0523;NA0529;NA0801;NA0804;NA0806;NA0814;NA1201;NA1202;NA1303;NA1308;NA1310;NA1311;NT0146;PA0402;PA0405;PA0412;PA0436;PA0445;PA0608;PA1211,DE;IT;KE;MX;MZ;NZ;SE;US;ZA
mystromysalbicaudatus,,
naja,AT0103;AT0114;AT0125;AT0130;AT0704;AT0707;AT0711;AT0713;AT0719;AT0721;AT0725;AT1314;AT1316;AT1320;IM0149;IM0154;IM0302,CI;CM;GM;GN;HK;KE;LK;MZ;NA;PH;SA;SL;SN;TZ;ZA;ZM;ZW
najahaje,,
najahajehaje,,
najamelanoleuca,AT0103;AT0114;AT0125;AT0130;AT0707;AT0721;IM0154,CI;CM;GM;GN;KE;LK;TZ
najanigricollis,AT0114;AT0130;AT0707;AT0711,GM;GN;KE;SL
najanivea,AT1314;AT1316,NA;ZA
najaswelwitschii,,
nandiniabinotata,AT0102;AT0110;AT0111;AT0114;AT0130;AT0707;AT0721;PA0501,CD;CI;GH;GN;GQ;IT;KE;LR
neamblysomusgunningi,,
neamblysomusjulianae,,
necrosyrtesmonachus,AT0101;AT0111;AT0112;AT0130;AT0705;AT0706;AT0707;AT0714;AT0715;AT0716;AT0721;AT0722;AT0725;AT1007;AT1008;AT1403,ET;GH;GM;GW;KE;SL;SN;TZ;UG;ZA;ZM
nectariniaamethystina,AT0108;AT0109;AT0115;AT0704;AT0711;AT0716;AT0717;AT0719;AT0721;AT0725;AT0726;AT0907;AT1004;AT1009;AT1309,KE;LS;MW;NA;SZ;TZ;ZA;ZM
nectariniamariquensis,AT0702;AT0709;AT0711;AT0716;AT0717;AT0721;AT0725;AT0726;AT0902;AT0907;AT1004;AT1309;AT1316,BW;KE;MZ;NA;TZ;ZA;ZW
nectariniapulchella,AT0109;AT0112;AT0705;AT0707;AT0711;AT0714;AT0715;AT0716;AT0722;AT1007;AT1403,ET;GH;GM;KE;TZ;UG
nectariniidae,AA0201;AA1205;AA1302;AT0108;AT0112;AT0113;AT0707;AT0711;AT0712;AT0714;AT0715;AT0719;AT0722;AT0723;AT0725;AT1004;AT1005;AT1007;AT1203;AT1318;AT1320;AT1403;AT1405;IM0105;IM0114;IM0120;IM0124;IM0126;IM0131;IM0146;IM0149;IM0150;IM0163;IM0166;IM0401;IM0501;IM1402;PA0445;PA0904;PA1303;PA1320,AU;BT;CD;DE;EG;ET;GM;HK;ID;IL;IN;KE;MZ;PH;SA;SC;SG;SS;TG;TH;TZ;UG;YE;ZA
nelsoniacanescens,AT0130;AT0704;AT0722,BF;BJ;CI;GN;TZ
neocaryamacrophylla,AT0707;AT1403,FR;GM;GN;SN
neophronpercnopterus,AT0715;AT1007;AT1008;AT1318;IM0115;IM0166;IM0206;IM0207;IM0209;IM0301;IM1301;IM1304;PA0404;PA0406;PA0435;PA0805;PA1208;PA1209;PA1212;PA1215;PA1216;PA1221;PA1303;PA1320;PA1325,AE;BG;ES;ET;FR;GE;IL;IN;IR;NP;PT;SA;TR;YE
neorautaneniaamboensis,,
neoromiciazuluensis,,
neotisdenhami,AT0115;AT0116;AT0705;AT0711;AT0716;AT0721;AT0722;AT0907;AT1003;AT1004;AT1009;AT1010;AT1012;AT1015;AT1201;AT1203,BJ;BW;GH;KE;MW;NG;UG;ZA;ZM
neotragusmoschatus,,
nepidae,AT0104;AT0704;AT0725;AT1306;IM0123;NA0523;NA0806;NA0814;NA1202;PA0402;PA0405;PA0412;PA0436;PA0445;PA0608,AE;CD;DE;FI;MZ;PH;SE;US;ZM
neptuniaoleracea,AT0713;AT0722;AT0903;IM0154;NT0137,BF;CO;LK;ML;NG
nerinelaticoma,,
nettaerythrophthalma,AT0108;AT0112;AT0115;AT0119;AT0702;AT0704;AT0711;AT0716;AT0717;AT0719;AT0725;AT1004;AT1005;AT1009;AT1012;NT0801;NT1304,AR;BR;BW;CD;ET;KE;MZ;NA;TZ;ZA;ZM;ZW
nettapusauritus,AT0108;AT0111;AT0112;AT0119;AT0202;AT0704;AT0705;AT0707;AT0713;AT0715;AT0721;AT0722;AT0725;AT0726;AT0907;AT1007;AT1008;AT1402,BW;CD;ET;GH;GM;KE;MG;NA;SD;SN;TG;TZ;UG;ZA;ZM
neuradaprocumbens,PA1212;PA1332,EH;FR
neuradopsisaustroafricana,,
nicotiana,IM0146;NA0303;NA0801;NA1201;NA1202;NA1203;NA1302;NA1303;NA1307;NA1308;NA1310;NA1311;NA1312;NT0227;NT0230;NT0310;PA0425;PA0436;PA1201;PA1203;PA1209;PA1211;PA1212;PA1215;PA1221,ES;FR;GR;IT;MX;PT;SE;SG;US
nicotianarustica,PA0402;PA0405;PA0406;PA0412;PA0436;PA0445;PA1209;PA1215,DE;ES;FR;LU;SE
nicotianatabacum,IM0146;NT0205;PA0402;PA0405;PA0406;PA0412;PA0436;PA0445;PA1209;PA1215,AD;BE;DE;ES;FR;MX;NL;SE;SG
nidorellaresedifolia,AT0907;AT1015,BW;TZ
nilausafer,AT0112;AT0705;AT0707;AT0709;AT0711;AT0714;AT0715;AT0716;AT0717;AT0721;AT0722;AT0725;AT0726;AT0907;AT1004;AT1007;AT1008;AT1012;AT1309,BW;ET;GH;GM;KE;NA;TZ;UG;ZA;ZM
